workload,config,audit,encryption,ttl,iteration,throughput_ops_sec
c,encryption,false,true,false,1,597.3715651135007
c,encryption,false,true,false,2,523.2862375719518
c,encryption,false,true,false,3,547.945205479452
c,encryption,false,true,false,4,539.3743257820928
c,encryption,false,true,false,5,532.4813631522896
d,encryption,false,true,false,1,531.632110579479
d,encryption,false,true,false,2,534.1880341880342
d,encryption,false,true,false,3,540.2485143165857
d,encryption,false,true,false,4,498.00796812749
d,encryption,false,true,false,5,571.7552887364208
e,encryption,false,true,false,1,398.8831272437176
e,encryption,false,true,false,2,398.5651654045436
e,encryption,false,true,false,3,410.5090311986864
e,encryption,false,true,false,4,361.92544335866813
e,encryption,false,true,false,5,405.84415584415586
f,encryption,false,true,false,1,441.5011037527594
f,encryption,false,true,false,2,437.25404459991256
f,encryption,false,true,false,3,432.152117545376
f,encryption,false,true,false,4,423.728813559322
f,encryption,false,true,false,5,442.67374944665784
a,ttl,false,false,true,1,1981.7677368212446
a,ttl,false,false,true,2,2049.6003279360525
a,ttl,false,false,true,3,2042.9009193054137
a,ttl,false,false,true,4,1976.6752322593397
a,ttl,false,false,true,5,2025.5215718047398
b,ttl,false,false,true,1,848.8964346349745
b,ttl,false,false,true,2,841.7508417508418
b,ttl,false,false,true,3,744.047619047619
b,ttl,false,false,true,4,753.5795026375282
b,ttl,false,false,true,5,741.2898443291327
c,ttl,false,false,true,1,809.0614886731391
c,ttl,false,false,true,2,695.4102920723227
c,ttl,false,false,true,3,700.770847932726
c,ttl,false,false,true,4,687.757909215956
c,ttl,false,false,true,5,709.7232079488999
d,ttl,false,false,true,1,835.421888053467
d,ttl,false,false,true,2,829.8755186721992
d,ttl,false,false,true,3,845.30853761623
d,ttl,false,false,true,4,737.4631268436578
d,ttl,false,false,true,5,844.5945945945946
e,ttl,false,false,true,1,488.7585532746823
e,ttl,false,false,true,2,510.46452271567125
e,ttl,false,false,true,3,520.2913631633714
e,ttl,false,false,true,4,484.027105517909
e,ttl,false,false,true,5,487.56704046806436
f,ttl,false,false,true,1,597.0149253731344
f,ttl,false,false,true,2,614.2506142506143
f,ttl,false,false,true,3,607.90273556231
f,ttl,false,false,true,4,621.5040397762585
f,ttl,false,false,true,5,634.5177664974619
a,all,true,true,true,1,1657.0008285004142
a,all,true,true,true,2,1622.5864027259452
a,all,true,true,true,3,1671.9612104999164
a,all,true,true,true,4,1620.4829039053639
a,all,true,true,true,5,1633.1863465621427
b,all,true,true,true,1,577.7007510109763
b,all,true,true,true,2,509.1649694501018
b,all,true,true,true,3,551.5719801434087
b,all,true,true,true,4,550.05500550055
b,all,true,true,true,5,552.1811154058531
c,all,true,true,true,1,513.347022587269
c,all,true,true,true,2,520.2913631633714
c,all,true,true,true,3,501.75614651279477
c,all,true,true,true,4,529.6610169491526
c,all,true,true,true,5,517.3305742369374
d,all,true,true,true,1,550.357732526142
d,all,true,true,true,2,520.0208008320333
d,all,true,true,true,3,544.069640914037
d,all,true,true,true,4,558.0357142857143
d,all,true,true,true,5,530.5039787798408
e,all,true,true,true,1,348.7966515521451
e,all,true,true,true,2,349.5281370150297
e,all,true,true,true,3,367.37692872887584
e,all,true,true,true,4,357.0153516601214
e,all,true,true,true,5,372.85607755406414
f,all,true,true,true,1,434.7826086956522
f,all,true,true,true,2,431.77892918825563
f,all,true,true,true,3,434.7826086956522
f,all,true,true,true,4,410.5090311986864
f,all,true,true,true,5,439.56043956043953
