workload,config,audit,encryption,ttl,iteration,throughput_ops_sec
f,encryption,false,true,false,1,1010.10101010101
f,encryption,false,true,false,2,1001.001001001001
f,encryption,false,true,false,3,957.8544061302682
f,encryption,false,true,false,4,1039.5010395010395
f,encryption,false,true,false,5,997.0089730807578
a,ttl,false,false,true,1,4340.277777777777
a,ttl,false,false,true,2,4466.279589102278
a,ttl,false,false,true,3,4249.893752656184
a,ttl,false,false,true,4,4553.734061930783
a,ttl,false,false,true,5,4562.043795620438
b,ttl,false,false,true,1,1642.0361247947455
b,ttl,false,false,true,2,1805.0541516245487
b,ttl,false,false,true,3,1745.2006980802792
b,ttl,false,false,true,4,1727.1157167530225
b,ttl,false,false,true,5,1811.5942028985507
c,ttl,false,false,true,1,1760.5633802816901
c,ttl,false,false,true,2,1751.3134851138354
c,ttl,false,false,true,3,1814.8820326678765
c,ttl,false,false,true,4,1760.5633802816901
c,ttl,false,false,true,5,1831.5018315018315
d,ttl,false,false,true,1,1834.8623853211009
d,ttl,false,false,true,2,1788.9087656529516
d,ttl,false,false,true,3,1709.4017094017095
d,ttl,false,false,true,4,1814.8820326678765
d,ttl,false,false,true,5,1908.3969465648854
e,ttl,false,false,true,1,1035.1966873706003
e,ttl,false,false,true,2,928.5051067780872
e,ttl,false,false,true,3,1012.1457489878543
e,ttl,false,false,true,4,1029.8661174047375
e,ttl,false,false,true,5,997.0089730807578
f,ttl,false,false,true,1,1422.475106685633
f,ttl,false,false,true,2,1406.4697609001407
f,ttl,false,false,true,3,1418.4397163120568
f,ttl,false,false,true,4,1424.5014245014245
f,ttl,false,false,true,5,1455.604075691412
a,all,true,true,true,1,3881.9875776397516
a,all,true,true,true,2,3912.3630672926447
a,all,true,true,true,3,3850.5968425105893
a,all,true,true,true,4,3886.5137971239797
a,all,true,true,true,5,3982.4771007566706
b,all,true,true,true,1,1197.6047904191616
b,all,true,true,true,2,1180.637544273908
b,all,true,true,true,3,1140.2508551881415
b,all,true,true,true,4,1194.7431302270013
b,all,true,true,true,5,1177.8563015312131
c,all,true,true,true,1,1121.0762331838564
c,all,true,true,true,2,1189.0606420927468
c,all,true,true,true,3,1196.1722488038276
c,all,true,true,true,4,1187.648456057007
c,all,true,true,true,5,1146.788990825688
d,all,true,true,true,1,1138.9521640091116
d,all,true,true,true,2,1164.1443538998835
d,all,true,true,true,3,1088.139281828074
d,all,true,true,true,4,1129.9435028248588
d,all,true,true,true,5,1150.7479861910242
e,all,true,true,true,1,660.0660066006601
e,all,true,true,true,2,637.7551020408164
e,all,true,true,true,3,627.7463904582548
e,all,true,true,true,4,655.307994757536
e,all,true,true,true,5,634.5177664974619
f,all,true,true,true,1,1015.2284263959391
f,all,true,true,true,2,977.5171065493646
f,all,true,true,true,3,956.9377990430622
f,all,true,true,true,4,972.7626459143969
f,all,true,true,true,5,955.1098376313277
